Filename:C:\Users\KircherEngineerH\Desktop\ol2.zdl
Date Exported:12/30/2018 10:49:18 AM

"Time","Zt-2 AFR","Zt-2 RPM","Zt-2 Boost","Zt-2 EGT","Zt-2 TPS","Zt-2 User1"
05:14:12.051,14.7,2341.5,-9.599,392,29,3.02
05:14:12.066,14.7,2334.4,-9.599,392,29,3.02
05:14:12.082,14.7,2332,-9.599,392,29,3.02
05:14:12.097,14.7,2332.6,-9.599,392,29,3.02
05:14:12.112,14.7,2332.9,-9.699,392,29,3.02
05:14:12.128,14.7,2333.2,-9.599,392,28,3.02
05:14:12.148,14.7,2332.3,-9.599,392,28,3.02
05:14:12.185,14.7,2333.5,-9.599,392,29,3.02
05:14:12.201,14.7,2333.6,-9.499,392,29,3.02
05:14:12.216,14.725,2333.7,-9.599,392,29,3.02
05:14:12.231,14.725,2333.7,-9.599,392,29,3.02
05:14:12.246,14.725,2333.1,-9.699,392,29,3.02
05:14:12.260,14.725,2333.1,-9.599,392,29,3.02
05:14:12.277,14.7,2333.7,-9.499,392,29,3.02
05:14:12.293,14.7,2333.7,-9.599,392,29,3.02
05:14:12.309,14.7,2333.1,-9.599,392,29,3.02
05:14:12.325,14.7,2333.1,-9.599,392,29,3.02
05:14:12.349,14.7,2333.7,-9.599,392,29,3.02
05:14:12.410,14.7,2332.4,-9.599,392,29,3.02
05:14:12.425,14.7,2331.8,-9.599,392,29,3.02
05:14:12.441,14.7,2331.8,-9.599,392,29,3.02
05:14:12.457,14.7,2331.1,-9.599,392,29,3.02
05:14:12.473,14.7,2330.5,-9.599,392,29,3.02
05:14:12.489,14.7,2330.5,-9.699,392,29,3.02
05:14:12.509,14.7,2330.5,-9.599,392,29,3.02
05:14:12.545,14.675,2329.9,-9.599,392,29,3.02
05:14:12.561,14.65,2329.9,-9.599,392,29,3.02
05:14:12.577,14.625,2329.2,-9.599,392,29,3.02
05:14:12.593,14.6,2329.2,-9.599,392,29,3.02
05:14:12.609,14.6,2329.2,-9.699,392,29,3.02
05:14:12.625,14.6,2328.6,-9.899,392,29,3.02
05:14:12.645,14.6,2328.6,-9.599,392,29,3.02
05:14:12.680,14.6,2327.9,-9.599,392,29,3.02
05:14:12.696,14.6,2327.9,-9.599,392,29,3.02
05:14:12.711,14.6,2327.3,-9.599,392,29,3.02
05:14:12.727,14.6,2326.6,-9.699,392,29,3.02
05:14:12.743,14.6,2327.3,-9.599,392,29,3.02
05:14:12.759,14.6,2327.3,-9.599,392,29,3.02
05:14:12.775,14.625,2326.7,-9.499,392,29,3.02
05:14:12.790,14.65,2326,-9.499,392,29,3.02
05:14:12.818,14.675,2326,-9.499,392,29,3.02
05:14:12.893,14.7,2326.6,-9.499,392,30,3.02
05:14:12.909,14.7,2326.6,-9.499,392,30,3.02
05:14:12.925,14.7,2327.9,-9.499,392,30,3.02
05:14:12.940,14.7,2327.3,-9.499,392,30,3.02
05:14:12.956,14.7,2327.9,-9.499,392,30,3.02
05:14:12.976,14.7,2327.3,-9.599,392,30,3.02
05:14:13.013,14.7,2326.6,-9.399,392,30,3.02
05:14:13.029,14.7,2326,-9.399,392,30,3.02
05:14:13.045,14.7,2326.6,-9.399,392,30,3.02
05:14:13.061,14.7,2326.6,-9.199,392,30,3.02
05:14:13.077,14.7,2327.3,-9.199,392,30,3.02
05:14:13.099,14.7,2326.7,-9.399,392,30,3.02
05:14:13.148,14.7,2326,-8.999,392,30,3.02
05:14:13.164,14.7,2324.7,-8.999,392,30,3.02
05:14:13.180,14.7,2324.7,-8.999,392,30,3.02
05:14:13.196,14.7,2324.7,-8.899,392,30,3.02
05:14:13.212,14.7,2324.7,-8.999,392,30,3.02
05:14:13.234,14.7,2324.1,-8.899,392,30,3.02
05:14:13.284,14.675,2324.7,-8.899,392,30,3.02
05:14:13.300,14.625,2324.7,-8.899,392,30,3.02
05:14:13.316,14.575,2324.7,-8.899,392,30,3.02
05:14:13.332,14.525,2323.4,-8.999,392,30,3.02
05:14:13.347,14.5,2324.1,-8.999,392,30,3.02
05:14:13.363,14.5,2323.4,-8.899,392,30,3.02
05:14:13.378,14.5,2324.1,-8.899,392,30,3.02
05:14:13.393,14.475,2324.1,-8.999,392,30,3.02
05:14:13.413,14.45,2323.4,-8.999,392,30,3.02
05:14:13.450,14.425,2322.8,-9.099,392,30,3.02
05:14:13.465,14.425,2322.8,-8.999,392,30,3.02
05:14:13.481,14.425,2322.2,-8.999,392,30,3.02
05:14:13.497,14.45,2321.5,-8.999,392,30,3.02
05:14:13.512,14.475,2320.9,-8.999,392,30,3.02
05:14:13.528,14.475,2321.5,-8.999,392,30,3.02
05:14:13.544,14.5,2321.5,-8.899,392,30,3.02
05:14:13.560,14.525,2322.2,-8.999,392,30,3.02
05:14:13.580,14.525,2321.5,-8.999,392,29,3.02
05:14:13.615,14.55,2321.5,-8.999,392,29,3.02
05:14:13.631,14.6,2322.2,-8.999,392,29,3.02
05:14:13.647,14.625,2323.4,-8.899,392,29,3.02
05:14:13.663,14.675,2323.4,-8.899,392,29,3.02
05:14:13.679,14.7,2323.4,-8.999,392,29,3.02
05:14:13.695,14.7,2322.8,-9.099,392,29,3.02
05:14:13.715,14.7,2322.8,-9.199,392,29,3.02
05:14:13.752,14.725,2321.5,-9.099,392,29,3.02
05:14:13.768,14.75,2320.9,-9.099,392,29,3.02
05:14:13.784,14.775,2320.3,-9.099,392,29,3.02
05:14:13.800,14.8,2320.3,-9.099,392,29,3.02
05:14:13.816,14.8,2320.3,-9.199,392,29,3.02
05:14:13.832,14.8,2319,-9.199,392,29,3.02
05:14:13.851,14.775,2318.3,-9.199,392,29,3.02
05:14:13.888,14.75,2317.7,-9.199,392,29,3.02
05:14:13.904,14.725,2317.1,-9.099,392,29,3.02
05:14:13.920,14.7,2317.7,-9.199,392,30,3.02
05:14:13.936,14.7,2317.7,-9.399,392,29,3.02
05:14:13.952,14.7,2318.3,-9.199,392,29,3.02
05:14:13.974,14.7,2317.7,-9.199,392,30,3.02
05:14:14.022,14.675,2317.7,-9.199,392,30,3.02
05:14:14.038,14.65,2317.7,-9.199,392,29,3.02
05:14:14.054,14.625,2317.1,-9.399,392,29,3.02
05:14:14.070,14.6,2317.1,-9.399,392,29,3.02
05:14:14.086,14.575,2316.4,-9.199,392,29,3.02
05:14:14.101,14.55,2317.1,-9.199,392,29,3.02
05:14:14.117,14.55,2317.7,-9.199,392,30,3.02
05:14:14.137,14.55,2317.1,-9.199,392,30,3.02
05:14:14.174,14.575,2316.4,-9.399,392,29,3.02
05:14:14.190,14.625,2316.4,-9.399,392,29,3.02
05:14:14.206,14.625,2316.4,-9.399,392,29,3.02
05:14:14.222,14.625,2316.4,-9.399,392,29,3.02
05:14:14.238,14.625,2315.8,-9.199,392,29,3.02
05:14:14.253,14.6,2315.8,-9.199,392,29,3.02
05:14:14.273,14.6,2316.4,-9.199,392,29,3.02
05:14:14.310,14.625,2315.8,-9.399,392,29,3.02
05:14:14.326,14.65,2315.2,-9.399,392,29,3.02
05:14:14.342,14.675,2314.5,-9.399,392,29,3.02
05:14:14.358,14.7,2315.2,-9.399,392,29,3.02
05:14:14.374,14.7,2315.8,-9.199,392,29,3.02
05:14:14.396,14.725,2315.2,-9.399,392,29,3.02
05:14:14.444,14.75,2315.8,-9.399,392,29,3.02
05:14:14.460,14.775,2315.8,-9.399,392,29,3.02
05:14:14.475,14.8,2315.8,-9.199,392,29,3.02
05:14:14.491,14.775,2315.2,-9.399,392,29,3.02
05:14:14.507,14.75,2315.2,-9.199,392,29,3.02
05:14:14.522,14.725,2316.4,-9.399,392,29,3.02
05:14:14.538,14.7,2317.1,-9.499,392,29,3.02
05:14:14.554,14.7,2317.1,-9.399,392,29,3.02
05:14:14.576,14.7,2315.8,-9.399,392,29,3.02
05:14:14.626,14.7,2314.5,-9.399,392,29,3.02
05:14:14.642,14.7,2314.5,-9.399,392,29,3.02
05:14:14.657,14.7,2313.9,-9.399,392,29,3.02
05:14:14.673,14.7,2313.3,-9.199,392,29,3.02
05:14:14.689,14.7,2313.3,-9.399,392,29,3.02
05:14:14.705,14.7,2313.9,-9.399,392,29,3.02
05:14:14.725,14.7,2313.3,-9.199,392,29,3.02
05:14:14.760,14.7,2312.6,-9.399,392,29,3.02
05:14:14.775,14.7,2311.4,-9.399,392,28,3.02
05:14:14.791,14.7,2310.7,-9.399,392,28,3.02
05:14:14.807,14.7,2311.4,-9.399,392,28,3.02
05:14:14.824,14.675,2311.4,-9.399,392,28,3.02
05:14:14.840,14.65,2311.4,-9.399,392,28,3.02
05:14:14.856,14.65,2311.4,-9.499,392,29,3.02
05:14:14.876,14.65,2311.4,-9.499,392,28,3.02
05:14:14.911,14.675,2310.7,-9.499,392,28,3.02
05:14:14.926,14.7,2310.7,-9.499,392,28,3.02
05:14:14.942,14.7,2310.7,-9.499,392,28,3.02
05:14:14.958,14.7,2310.7,-9.499,392,28,3.02
05:14:14.974,14.7,2310.7,-9.499,392,28,3.02
05:14:14.990,14.7,2310.7,-9.599,392,28,3.02
05:14:15.010,14.7,2310.1,-9.699,392,28,3.02
05:14:15.047,14.7,2310.1,-9.599,392,28,3.02
05:14:15.063,14.7,2309.5,-9.599,392,28,3.02
05:14:15.079,14.725,2308.8,-9.699,392,28,3.02
05:14:15.095,14.775,2308.2,-9.699,392,28,3.02
05:14:15.111,14.775,2308.2,-9.899,392,28,3.02
05:14:15.127,14.775,2307.6,-9.899,392,28,3.02
05:14:15.143,14.75,2306.3,-9.699,392,28,3.02
05:14:15.163,14.7,2305.7,-9.699,392,28,3.02
05:14:15.198,14.7,2306.3,-9.699,392,28,3.02
05:14:15.215,14.7,2306.3,-9.699,392,28,3.02
05:14:15.231,14.675,2306.3,-9.899,392,28,3.02
05:14:15.247,14.65,2306.3,-9.899,392,28,3.02
05:14:15.263,14.625,2306.3,-9.899,392,28,3.02
05:14:15.283,14.575,2306.9,-9.899,392,28,3.02
05:14:15.318,14.55,2306.9,-9.899,392,28,3.02
05:14:15.334,14.525,2306.9,-9.899,392,28,3.02
05:14:15.350,14.5,2306.9,-9.899,392,28,3.02
05:14:15.366,14.5,2307.6,-9.899,392,28,3.02
05:14:15.382,14.5,2306.9,-9.899,392,28,3.02
05:14:15.397,14.5,2306.3,-9.899,392,28,3.02
05:14:15.417,14.5,2306.3,-9.899,392,28,3.02
05:14:15.454,14.525,2305.7,-9.899,392,28,3.02
05:14:15.470,14.55,2305.1,-9.899,392,28,3.02
05:14:15.486,14.6,2304.4,-9.899,392,28,3.02
05:14:15.502,14.65,2304.4,-9.899,392,28,3.02
05:14:15.517,14.675,2304.4,-9.899,392,28,3.02
05:14:15.533,14.7,2304.4,-9.699,392,28,3.02
05:14:15.563,14.7,2303.8,-9.899,392,28,3.02
05:14:15.649,14.7,2303.2,-9.699,392,28,3.02
05:14:15.665,14.7,2303.2,-9.899,392,28,3.02
05:14:15.681,14.7,2302.6,-9.999,392,28,3.02
05:14:15.697,14.7,2301.3,-9.899,392,28,3.02
05:14:15.714,14.7,2300.7,-9.699,392,28,3.02
05:14:15.734,14.7,2300.1,-9.699,392,28,3.02
05:14:15.769,14.7,2300.1,-9.899,392,28,3.02
05:14:15.785,14.7,2298.2,-9.999,392,28,3.02
05:14:15.801,14.7,2297.5,-9.899,392,28,3.02
05:14:15.817,14.7,2296.3,-9.699,392,28,3.02
05:14:15.833,14.7,2296.9,-9.699,392,28,3.02
05:14:15.856,14.7,2297.5,-9.899,392,28,3.02
05:14:15.906,14.7,2297.5,-9.899,392,28,3.02
05:14:15.922,14.7,2297.5,-9.899,392,28,3.02
05:14:15.938,14.7,2297.5,-9.899,392,28,3.02
05:14:15.954,14.7,2298.2,-9.899,392,28,3.02
05:14:15.970,14.7,2298.2,-9.899,392,28,3.02
05:14:15.990,14.7,2298.2,-9.899,392,28,3.02
05:14:16.025,14.7,2297.5,-9.899,392,28,3.02
05:14:16.041,14.7,2296.9,-9.899,392,28,3.02
05:14:16.057,14.7,2296.9,-9.899,392,28,3.02
05:14:16.074,14.7,2295.7,-9.899,392,28,3.02
05:14:16.090,14.7,2294.4,-9.899,392,28,3.02
05:14:16.106,14.7,2294.4,-9.899,392,28,3.02
05:14:16.126,14.675,2293.2,-9.999,392,28,3.02
05:14:16.161,14.65,2293.2,-9.899,392,28,3.02
05:14:16.177,14.625,2293.2,-9.899,392,28,3.02
05:14:16.193,14.6,2293.2,-9.699,392,28,3.02
05:14:16.209,14.625,2292.6,-9.899,392,28,3.02
05:14:16.225,14.625,2292.6,-9.899,392,28,3.02
05:14:16.240,14.625,2292.6,-9.999,392,28,3.02
05:14:16.263,14.65,2292.6,-9.999,392,28,3.02
05:14:16.313,14.65,2292.6,-9.899,392,28,3.02
05:14:16.329,14.675,2292.6,-9.899,392,28,3.02
05:14:16.345,14.7,2291.3,-9.999,392,28,3.02
05:14:16.361,14.7,2291.3,-9.999,392,28,3.02
05:14:16.377,14.7,2290.7,-9.899,392,28,3.02
05:14:16.397,14.7,2290.1,-9.899,392,28,3.02
05:14:16.432,14.725,2289.4,-9.999,392,28,3.02
05:14:16.449,14.75,2288.8,-9.999,392,28,3.02
05:14:16.465,14.775,2288.8,-9.999,392,28,3.02
05:14:16.481,14.8,2288.2,-9.999,392,28,3.02
05:14:16.497,14.8,2288.2,-9.899,392,28,3.02
05:14:16.517,14.8,2287.6,-9.899,392,28,3.02
05:14:16.552,14.775,2287,-9.899,392,28,3.02
05:14:16.568,14.75,2287,-9.999,392,28,3.02
05:14:16.583,14.725,2287,-9.899,392,28,3.02
05:14:16.599,14.7,2286.3,-9.899,392,28,3.02
05:14:16.615,14.7,2285.7,-9.899,392,28,3.02
05:14:16.631,14.7,2285.1,-9.899,392,28,3.02
05:14:16.654,14.7,2285.1,-9.999,392,28,3.02
05:14:16.704,14.7,2284.5,-9.999,392,28,3.02
05:14:16.720,14.7,2284.5,-9.999,392,28,3.02
05:14:16.736,14.7,2283.9,-10.099,392,28,3.02
05:14:16.751,14.7,2283.9,-10.099,392,28,3.02
05:14:16.766,14.7,2283.3,-10.199,392,28,3.02
05:14:16.782,14.7,2282.6,-10.399,392,28,3.02
05:14:16.798,14.7,2282,-10.199,392,28,3.02
05:14:16.814,14.7,2282.6,-10.199,392,28,3.02
05:14:16.835,14.7,2282.6,-10.199,392,28,3.02
05:14:16.883,14.7,2282.6,-10.499,392,28,3.02
05:14:16.899,14.7,2282.6,-10.399,392,28,3.02
05:14:16.915,14.675,2282.6,-10.399,392,28,3.02
05:14:16.931,14.65,2282.6,-10.199,392,28,3.02
05:14:16.947,14.625,2282,-10.399,392,28,3.02
05:14:16.967,14.625,2280.8,-10.399,392,28,3.02
05:14:17.003,14.65,2280.8,-10.399,392,28,3.02
05:14:17.019,14.675,2280.2,-10.399,392,28,3.02
05:14:17.035,14.7,2279.6,-10.199,392,28,3.02
05:14:17.050,14.725,2278.9,-10.199,392,28,3.02
05:14:17.066,14.75,2277.7,-10.399,392,28,3.02
05:14:17.082,14.775,2277.7,-10.399,392,28,3.02
05:14:17.098,14.8,2276.5,-10.399,392,28,3.02
05:14:17.113,14.825,2275.3,-10.399,392,28,3.02
05:14:17.133,14.85,2274,-10.199,392,28,3.02
05:14:17.170,14.9,2273.4,-10.399,392,28,3.02
05:14:17.186,14.95,2272.8,-10.399,392,28,3.02
05:14:17.202,14.975,2272.2,-10.399,392,28,3.02
05:14:17.217,15,2272.2,-10.399,392,28,3.02
05:14:17.233,14.975,2272.2,-10.199,392,28,3.02
05:14:17.248,14.95,2271.6,-10.199,392,28,3.02
05:14:17.263,14.925,2271.6,-10.199,392,28,3.02
05:14:17.285,14.875,2271,-10.399,392,28,3.02
05:14:17.334,14.85,2271,-10.399,392,28,3.02
05:14:17.349,14.825,2271.6,-10.399,392,28,3.02
05:14:17.365,14.8,2271.6,-10.399,392,28,3.02
05:14:17.381,14.8,2271.6,-10.499,392,28,3.02
05:14:17.397,14.8,2271.6,-10.399,392,28,3.02
05:14:17.412,14.775,2271,-10.399,392,28,3.02
05:14:17.428,14.75,2270.4,-10.399,392,28,3.02
05:14:17.444,14.725,2270.4,-10.399,392,28,3.02
05:14:17.458,14.7,2270.4,-10.399,392,28,3.02
05:14:17.473,14.7,2269.8,-10.399,392,28,3.02
05:14:17.489,14.7,2269.1,-10.399,392,28,3.02
05:14:17.511,14.7,2268.5,-10.399,392,28,3.02
05:14:17.561,14.7,2267.9,-10.199,392,28,3.02
05:14:17.577,14.7,2267.3,-10.399,392,28,3.02
05:14:17.593,14.7,2266.1,-10.399,392,28,3.02
05:14:17.609,14.7,2265.5,-10.399,392,28,3.02
05:14:17.631,14.7,2264.9,-10.399,392,28,3.02
05:14:17.680,14.675,2264.9,-10.399,392,28,3.02
05:14:17.696,14.675,2263.7,-10.399,392,28,3.02
05:14:17.712,14.65,2262.5,-10.399,392,28,3.02
05:14:17.728,14.625,2261.9,-10.399,392,28,3.02
05:14:17.744,14.625,2261.3,-10.399,392,28,3.02
05:14:17.766,14.6,2260.6,-10.199,392,28,3.02
05:14:17.815,14.6,2260,-10.399,392,28,3.02
05:14:17.832,14.6,2259.4,-10.399,392,28,3.02
05:14:17.847,14.625,2259.4,-10.399,392,28,3.02
05:14:17.863,14.625,2259.4,-10.399,392,28,3.02
05:14:17.879,14.65,2259.4,-10.399,392,28,3.02
05:14:17.895,14.675,2258.8,-10.499,392,28,3.02
05:14:17.911,14.675,2258.8,-10.499,392,28,3.02
05:14:17.931,14.7,2258.2,-10.399,392,28,3.02
05:14:17.968,14.7,2258.2,-10.399,392,28,3.02
05:14:17.984,14.725,2257.6,-10.499,392,28,3.02
05:14:18.000,14.75,2257,-10.499,392,28,3.02
05:14:18.016,14.775,2256.4,-10.399,392,28,3.02
05:14:18.032,14.775,2255.8,-10.399,392,28,3.02
05:14:18.054,14.775,2255.8,-10.499,392,28,3.02
05:14:18.102,14.75,2255.2,-10.499,392,28,3.02
05:14:18.118,14.725,2254.6,-10.499,392,28,3.02
05:14:18.134,14.725,2254,-10.399,392,28,3.02
05:14:18.150,14.7,2253.4,-10.399,392,28,3.02
05:14:18.167,14.7,2253.4,-10.399,392,28,3.02
05:14:18.187,14.7,2252.2,-10.499,392,28,3.02
05:14:18.222,14.675,2252.2,-10.499,392,28,3.02
05:14:18.238,14.65,2251.6,-10.499,392,28,3.02
05:14:18.254,14.625,2251.6,-10.499,392,28,3.02
05:14:18.270,14.6,2251.6,-10.399,392,28,3.02
05:14:18.286,14.6,2250.4,-10.499,392,28,3.02
05:14:18.306,14.6,2250.4,-10.499,392,28,3.02
05:14:18.343,14.6,2249.8,-10.399,392,28,3.02
